"police_station_id","station_name","police_staff","inspector_id","inspector_name","age","joining_date","salary","no_of_cases","max_case_type","min_cases_type","avg_solving_day","station_pincode","station_zone","city","state"
"T1-103243","ST-27",13,"SI-12572","Viviana Payne",43,"2001-01-01",175555,97,"dowry demands","theft",14,"485765","EAST","Patna","Tamil Nadu"
"T1-103244","ST-28",36,"SI-12573","Edward Herman",48,"2001-01-02",148065,99,"robbery","cybercrime",15,"485767","WEST","Meerut","Telangana"
"T1-103245","ST-29",23,"SI-12574","Paulina Patton",37,"2001-01-02",84092,101,"unfair dismissal","sedition",4,"485769","SOUTH","Kalyan-Dombivli","Tripura"
"T1-103246","ST-30",39,"SI-12575","Avah Zimmerman",64,"2001-01-02",210253,103,"theft","Property dispute",11,"485771","NORTH","Vasai-Virar","Uttar Pradesh"
"T1-103247","ST-31",39,"SI-12576","Kellan Ballard",44,"2001-01-02",176217,105,"cybercrime","marriage affairs",13,"485773","CENTRAL","Varanasi","Uttarakhand"
"T1-103248","ST-32",20,"SI-12577","Arianna Salinas",54,"2001-01-02",226226,107,"sedition","Divorce",6,"485775","EAST","Srinagar","West Bengal"
"T1-103249","ST-33",26,"SI-12578","Edgar Warren",61,"2001-01-02",199094,109,"Property dispute","Fraud",13,"485777","WEST","Dhanbad","Andaman and Nicobar Islands"
"T1-103250","ST-34",23,"SI-12579","Samara Hayes",61,"2001-01-02",144737,111,"Fraud","riots",3,"485779","SOUTH","Jodhpur","Chandigarh"
"T1-103251","ST-35",40,"SI-12580","Zander Parker",38,"2001-01-02",63780,113,"riots","claims of negligence",3,"485781","NORTH","Amritsar","Dadra and Nagar Haveli and Daman and Diu"
"T1-103252","ST-36",14,"SI-12581","Reese Cuevas",40,"2001-01-02",62069,115,"marriage affairs","dowry demands",13,"485783","CENTRAL","Raipur","Lakshadweep"
"T1-103253","ST-37",21,"SI-12582","Stormi Webb",59,"2001-01-02",56089,117,"Divorce","robbery",3,"485785","EAST","Allahabad","Delhi"
"T1-103254","ST-38",30,"SI-12583","Bode Wolfe",37,"2001-01-02",162979,119,"claims of negligence","unfair dismissal",3,"485787","WEST","Coimbatore","Puducherry"
"T1-103255","ST-39",12,"SI-12584","Major Chung",50,"2001-01-02",145321,121,"appeal against HR","discrimination",12,"485789","SOUTH","Jabalpur","Ladakh"
"T1-103256","ST-40",23,"SI-12585","Sophie Stein",51,"2001-01-02",136582,123,"Workplace harassment","appeal against HR",13,"485791","NORTH","Gwalior","Jammu and Kashmir"
"T1-103257","ST-41",31,"SI-12586","Creed Perkins",63,"2001-01-02",221209,125,"Murder","Workplace harassment",15,"485793","CENTRAL","Vijayawada","Maharashtra"
"T1-103258","ST-42",16,"SI-12587","Sage Stephens",59,"2001-01-02",134375,127,"robbery","Murder",8,"485795","EAST","Madurai","Delhi"
"T1-103259","ST-43",38,"SI-12588","Messiah Leon",39,"2001-01-02",50715,129,"dowry demands","theft",10,"485797","WEST","Guwahati","Karnataka"
"T1-103260","ST-44",14,"SI-12589","Zola Melendez",44,"2001-01-02",123425,131,"robbery","cybercrime",11,"485799","SOUTH","Chandigarh","Andhra Pradesh"
"T1-103261","ST-45",17,"SI-12590","Anastasia Jacobson",44,"2001-01-02",158242,133,"unfair dismissal","sedition",5,"485801","NORTH","Hubli-Dharwad","Arunachal Pradesh"
"T1-103262","ST-46",19,"SI-12591","Emmitt Mays",39,"2001-01-02",136805,135,"theft","Property dispute",3,"485803","CENTRAL","Amroha","Assam"
"T1-103263","ST-47",33,"SI-12592","Denisse Dejesus",48,"2001-01-02",127694,137,"cybercrime","marriage affairs",7,"485805","EAST","Moradabad","Bihar"
"T1-103264","ST-48",23,"SI-12593","Rio Best",44,"2001-01-02",65046,139,"sedition","Divorce",9,"485807","WEST","Gurgaon","Chhattisgarh"
"T1-103265","ST-49",18,"SI-12594","Legacy Watkins",48,"2001-01-02",125005,141,"Property dispute","Fraud",7,"485809","SOUTH","Aligarh","Goa"
"T1-103266","ST-50",22,"SI-12595","Emery McCullough",47,"2001-01-02",76793,143,"Fraud","riots",6,"485811","NORTH","Solapur","Gujarat"
"T1-103267","ST-51",23,"SI-12596","Kinslee Kirk",39,"2001-01-02",172214,145,"riots","claims of negligence",10,"485813","CENTRAL","Ranchi","Haryana"
"T1-103268","ST-52",23,"SI-12597","Alessandro Hess",47,"2001-01-03",116889,147,"marriage affairs","dowry demands",15,"485815","EAST","Jalandhar","Himachal Pradesh"
"T1-103269","ST-53",24,"SI-12598","Kaliyah Nguyen",59,"2001-01-03",50833,149,"Divorce","robbery",12,"485817","WEST","Tiruchirappalli","Jharkhand"
"T1-103270","ST-54",20,"SI-12599","Gabriel Curtis",54,"2001-01-03",114765,151,"claims of negligence","unfair dismissal",5,"485819","SOUTH","Bhubaneswar","Karnataka"
"T1-103271","ST-55",16,"SI-12600","Kira Spears",43,"2001-01-03",155728,153,"appeal against HR","discrimination",11,"485821","NORTH","Salem","Kerala"
"T1-103272","ST-56",36,"SI-12601","Jack Roth",62,"2001-01-03",227856,155,"Workplace harassment","appeal against HR",12,"485823","CENTRAL","Mysore","Madhya Pradesh"
"T1-103273","ST-57",17,"SI-12602","Princess McCullough",49,"2001-01-03",185971,157,"Murder","Workplace harassment",3,"485825","EAST","Thiruvananthapuram","Maharashtra"
"T1-103274","ST-58",19,"SI-12603","Briar Howell",61,"2001-01-03",96980,159,"robbery","Murder",7,"485827","WEST","Tiruppur","Manipur"
"T1-103275","ST-59",21,"SI-12604","Mckenna Miller",46,"2001-01-03",144645,161,"dowry demands","theft",12,"485829","SOUTH","Gwalior","Meghalaya"
"T1-103276","ST-60",21,"SI-12605","Benjamin Acosta",58,"2001-01-03",101411,163,"robbery","cybercrime",14,"485831","NORTH","Chandrapur","Mizoram"
"T1-103277","ST-61",20,"SI-12606","Camilla Howe",47,"2001-01-03",243813,165,"unfair dismissal","sedition",13,"485833","CENTRAL","Mumbai","Nagaland"
"T1-103278","ST-62",28,"SI-12607","Ishaan Ibarra",57,"2001-01-03",85467,167,"theft","Property dispute",11,"485835","EAST","Delhi","Odisha"
"T1-103279","ST-63",39,"SI-12608","Gracie Guerra",57,"2001-01-03",245051,169,"cybercrime","marriage affairs",3,"485837","WEST","Bangalore","Punjab"
"T1-103280","ST-64",28,"SI-12609","Leland Sharp",58,"2001-01-03",231447,171,"sedition","Divorce",11,"485839","SOUTH","Hyderabad","Rajasthan"
"T1-103281","ST-65",23,"SI-12610","Camryn Ortega",59,"2001-01-03",75520,173,"Property dispute","Fraud",8,"485841","NORTH","Ahmedabad","Sikkim"
"T1-103282","ST-66",30,"SI-12611","Kobe Dominguez",62,"2001-01-03",171666,175,"Fraud","riots",5,"485843","CENTRAL","Chennai","Tamil Nadu"
"T1-103283","ST-67",23,"SI-12612","Anastasia Russo",47,"2001-01-03",183667,177,"riots","claims of negligence",12,"485845","EAST","Kolkata","Telangana"
"T1-103284","ST-68",13,"SI-12613","Mercy Church",64,"2001-01-03",234424,179,"marriage affairs","dowry demands",11,"485847","WEST","Surat","Tripura"
"T1-103285","ST-69",23,"SI-12614","Jada Hayes",52,"2001-01-03",154324,181,"Divorce","robbery",10,"485849","SOUTH","Pune","Uttar Pradesh"
"T1-103286","ST-70",14,"SI-12615","Legend Sellers",42,"2001-01-03",74139,183,"claims of negligence","unfair dismissal",14,"485851","NORTH","Jaipur","Uttarakhand"
"T1-103287","ST-71",20,"SI-12616","Terrance Harper",48,"2001-01-03",125641,185,"appeal against HR","discrimination",4,"485853","CENTRAL","Lucknow","West Bengal"
"T1-103288","ST-72",19,"SI-12617","Joel Carroll",48,"2001-01-03",175114,187,"Workplace harassment","appeal against HR",13,"485855","EAST","Kanpur","Andaman and Nicobar Islands"
"T1-103289","ST-73",26,"SI-12618","Sofia McPherson",58,"2001-01-03",145000,189,"Murder","Workplace harassment",14,"485857","WEST","Nagpur","Chandigarh"
"T1-103290","ST-74",16,"SI-12619","Leah Moran",47,"2001-01-03",189904,191,"robbery","Murder",4,"485859","SOUTH","Indore","Dadra and Nagar Haveli and Daman and Diu"
"T1-103291","ST-75",37,"SI-12620","Tate Juarez",37,"2001-01-03",247688,193,"dowry demands","theft",15,"485861","NORTH","Thane","Lakshadweep"
"T1-103292","ST-76",22,"SI-12621","Juliet Tran",47,"2001-01-04",197752,195,"robbery","cybercrime",12,"485863","CENTRAL","Bhopal","Delhi"
"T1-103293","ST-77",20,"SI-12622","Braxton Andersen",44,"2001-01-04",150237,197,"unfair dismissal","sedition",14,"485865","EAST","Visakhapatnam","Puducherry"
"T1-103294","ST-78",39,"SI-12623","Kamiyah Duke",43,"2001-01-04",83917,199,"theft","Property dispute",3,"485867","WEST","Vadodara","Ladakh"
"T1-103295","ST-79",13,"SI-12624","Kalel Bennett",48,"2001-01-04",183907,201,"cybercrime","marriage affairs",11,"485869","SOUTH","Firozabad","Jammu and Kashmir"
"T1-103296","ST-80",28,"SI-12625","Josephine Miranda",39,"2001-01-04",242360,203,"sedition","Divorce",6,"485871","NORTH","Ludhiana","Maharashtra"
"T1-103297","ST-81",25,"SI-12626","Rory Kirby",41,"2001-01-04",245328,205,"Property dispute","Fraud",11,"485873","CENTRAL","Rajkot","Delhi"
"T1-103298","ST-82",19,"SI-12627","Dalary Hart",49,"2001-01-04",237680,207,"Fraud","riots",15,"485875","EAST","Agra","Karnataka"
"T1-103299","ST-83",14,"SI-12628","Zara Lindsey",54,"2001-01-04",134068,209,"riots","claims of negligence",10,"485877","WEST","Siliguri","Andhra Pradesh"
"T1-103300","ST-84",14,"SI-12629","Jayson Ballard",43,"2001-01-04",73453,211,"marriage affairs","dowry demands",8,"485879","SOUTH","Nashik","Arunachal Pradesh"
"T1-103301","ST-85",23,"SI-12630","Leah Guerra",39,"2001-01-04",226933,213,"Divorce","robbery",6,"485881","NORTH","Faridabad","Assam"
"T1-103302","ST-86",20,"SI-12631","Leland Taylor",53,"2001-01-04",52306,215,"claims of negligence","unfair dismissal",15,"485883","CENTRAL","Patna","Bihar"
"T1-103303","ST-87",37,"SI-12632","Foster Grimes",56,"2001-01-04",189439,217,"appeal against HR","discrimination",10,"485885","EAST","Meerut","Chhattisgarh"
"T1-103304","ST-88",25,"SI-12633","Rosalyn Richards",61,"2001-01-04",96631,219,"Workplace harassment","appeal against HR",11,"485887","WEST","Kalyan-Dombivli","Goa"
"T1-103305","ST-89",17,"SI-12634","Holden Cain",52,"2001-01-04",81431,221,"Murder","Workplace harassment",10,"485889","SOUTH","Vasai-Virar","Gujarat"
"T1-103306","ST-90",17,"SI-12635","Kendra Patterson",48,"2001-01-04",132442,223,"robbery","Murder",6,"485891","NORTH","Varanasi","Haryana"
"T1-103307","ST-91",34,"SI-12636","Amir Sharp",51,"2001-01-04",95669,225,"dowry demands","theft",13,"485893","CENTRAL","Srinagar","Himachal Pradesh"
"T1-103308","ST-92",23,"SI-12637","Addisyn Henry",46,"2001-01-04",245464,227,"robbery","cybercrime",7,"485895","EAST","Dhanbad","Jharkhand"
"T1-103309","ST-93",36,"SI-12638","Carlos Dunn",46,"2001-01-04",123356,229,"unfair dismissal","sedition",5,"485897","WEST","Jodhpur","Karnataka"
"T1-103310","ST-94",32,"SI-12639","Olive Zuniga",62,"2001-01-04",102354,231,"theft","Property dispute",7,"485899","SOUTH","Amritsar","Kerala"
"T1-103311","ST-95",17,"SI-12640","Sincere Mays",52,"2001-01-04",84225,233,"cybercrime","marriage affairs",9,"485901","NORTH","Raipur","Madhya Pradesh"
"T1-103312","ST-96",20,"SI-12641","Yasmin Zhang",43,"2001-01-04",186256,235,"sedition","Divorce",4,"485903","CENTRAL","Allahabad","Maharashtra"
"T1-103313","ST-97",20,"SI-12642","Isaias Nash",51,"2001-01-04",172977,237,"Property dispute","Fraud",15,"485905","EAST","Coimbatore","Manipur"
"T1-103314","ST-98",25,"SI-12643","Novah Douglas",57,"2001-01-04",248874,239,"Fraud","riots",12,"485907","WEST","Jabalpur","Meghalaya"
"T1-103315","ST-99",30,"SI-12644","Derek McKay",61,"2001-01-04",134441,241,"riots","claims of negligence",6,"485909","SOUTH","Gwalior","Mizoram"
"T1-103316","ST-100",38,"SI-12645","Mira Vu",51,"2001-01-05",73226,243,"marriage affairs","dowry demands",13,"485911","NORTH","Vijayawada","Nagaland"
"T1-103317","ST-101",35,"SI-12646","Kamdyn Avalos",49,"2001-01-05",91809,245,"Divorce","robbery",4,"485913","CENTRAL","Madurai","Odisha"
"T1-103318","ST-102",19,"SI-12647","Paloma Cunningham",64,"2001-01-05",210825,247,"claims of negligence","unfair dismissal",7,"485915","EAST","Guwahati","Punjab"
"T1-103319","ST-103",25,"SI-12648","Alejandro Townsend",55,"2001-01-05",209158,249,"appeal against HR","discrimination",7,"485917","WEST","Chandigarh","Rajasthan"
"T1-103320","ST-104",27,"SI-12649","Alora Hensley",49,"2001-01-05",220550,251,"Workplace harassment","appeal against HR",10,"485919","SOUTH","Hubli-Dharwad","Sikkim"
"T1-103321","ST-105",12,"SI-12650","Layne Summers",58,"2001-01-05",166485,253,"Murder","Workplace harassment",5,"485921","NORTH","Amroha","Tamil Nadu"
"T1-103322","ST-106",38,"SI-12651","Frankie Mosley",53,"2001-01-05",172561,255,"robbery","Murder",11,"485923","CENTRAL","Moradabad","Telangana"
"T1-103323","ST-107",33,"SI-12652","Rayden Blake",49,"2001-01-05",190714,257,"dowry demands","theft",8,"485925","EAST","Gurgaon","Tripura"
"T1-103324","ST-108",30,"SI-12653","Gwen Wilkins",47,"2001-01-05",77472,259,"robbery","cybercrime",12,"485927","WEST","Aligarh","Uttar Pradesh"
"T1-103325","ST-109",39,"SI-12654","Yusuf Chandler",53,"2001-01-05",205132,261,"unfair dismissal","sedition",15,"485929","SOUTH","Solapur","Uttarakhand"
"T1-103326","ST-110",17,"SI-12655","Viviana Rasmussen",42,"2001-01-05",89524,263,"theft","Property dispute",11,"485931","NORTH","Ranchi","West Bengal"
"T1-103327","ST-111",15,"SI-12656","Will Mendez",61,"2001-01-05",60087,265,"cybercrime","marriage affairs",9,"485933","CENTRAL","Jalandhar","Andaman and Nicobar Islands"
"T1-103328","ST-112",16,"SI-12657","Kassidy Fields",41,"2001-01-05",77676,267,"sedition","Divorce",15,"485935","EAST","Tiruchirappalli","Chandigarh"
"T1-103329","ST-113",21,"SI-12658","Clayton Short",38,"2001-01-05",73623,269,"Property dispute","Fraud",15,"485937","WEST","Bhubaneswar","Dadra and Nagar Haveli and Daman and Diu"
"T1-103330","ST-114",12,"SI-12659","Cheyenne Felix",43,"2001-01-05",159114,271,"Fraud","riots",8,"485939","SOUTH","Salem","Lakshadweep"
"T1-103331","ST-115",16,"SI-12660","Novah Leach",59,"2001-01-05",128328,273,"riots","claims of negligence",13,"485941","NORTH","Mysore","Delhi"
"T1-103332","ST-116",14,"SI-12661","Rodney Nash",48,"2001-01-05",103690,275,"marriage affairs","dowry demands",13,"485943","CENTRAL","Thiruvananthapuram","Puducherry"
"T1-103333","ST-117",34,"SI-12662","Josue Gilbert",57,"2001-01-05",237815,277,"Divorce","robbery",9,"485945","EAST","Tiruppur","Ladakh"
"T1-103334","ST-118",35,"SI-12663","Amy Roman",43,"2001-01-05",232401,279,"claims of negligence","unfair dismissal",9,"485947","WEST","Gwalior","Jammu and Kashmir"
"T1-103335","ST-119",22,"SI-12664","Mariana Moody",56,"2001-01-05",140953,281,"appeal against HR","discrimination",5,"485949","SOUTH","Chandrapur","Maharashtra"
"T1-103336","ST-120",38,"SI-12665","Ryland Jenkins",60,"2001-01-05",81324,283,"Workplace harassment","appeal against HR",7,"485951","NORTH","Mumbai","Delhi"
"T1-103337","ST-121",28,"SI-12666","Rylee Reid",62,"2001-01-05",55610,285,"Murder","Workplace harassment",13,"485953","CENTRAL","Delhi","Karnataka"
"T1-103338","ST-122",36,"SI-12667","Makenna Villa",58,"2001-01-05",45549,287,"robbery","Murder",3,"485955","EAST","Bangalore","Andhra Pradesh"
"T1-103339","ST-123",33,"SI-12668","Adelynn Aguilar",39,"2001-01-05",86160,289,"dowry demands","theft",4,"485957","WEST","Hyderabad","Arunachal Pradesh"
"T1-103340","ST-124",32,"SI-12669","Sienna Powell",48,"2001-01-06",196797,291,"robbery","cybercrime",15,"485959","SOUTH","Ahmedabad","Assam"
"T1-103341","ST-125",34,"SI-12670","Bennett Lane",57,"2001-01-06",48803,293,"unfair dismissal","sedition",14,"485961","NORTH","Chennai","Bihar"
"T1-103342","ST-126",23,"SI-12671","Kian English",53,"2001-01-06",87274,295,"theft","Property dispute",8,"485963","CENTRAL","Kolkata","Chhattisgarh"
"T1-103343","ST-127",24,"SI-12672","Elliott Hurley",39,"2001-01-06",168875,297,"cybercrime","marriage affairs",3,"485965","EAST","Surat","Goa"
"T1-103344","ST-128",23,"SI-12673","Celine Higgins",45,"2001-01-06",191319,299,"sedition","Divorce",7,"485967","WEST","Pune","Gujarat"
"T1-103345","ST-129",15,"SI-12674","Ryan Brandt",64,"2001-01-06",158766,301,"Property dispute","Fraud",15,"485969","SOUTH","Jaipur","Haryana"
"T1-103346","ST-130",29,"SI-12675","Damir Browning",37,"2001-01-06",45187,303,"Fraud","riots",12,"485971","NORTH","Lucknow","Himachal Pradesh"
"T1-103347","ST-131",36,"SI-12676","Princess Hoover",58,"2001-01-06",120294,305,"riots","claims of negligence",4,"485973","CENTRAL","Kanpur","Jharkhand"
"T1-103348","ST-132",35,"SI-12677","Jaziel Reyna",57,"2001-01-06",121154,307,"marriage affairs","dowry demands",14,"485975","EAST","Nagpur","Karnataka"
"T1-103349","ST-133",13,"SI-12678","Etta Harrell",40,"2001-01-06",98568,309,"Divorce","robbery",3,"485977","WEST","Indore","Kerala"
"T1-103350","ST-134",36,"SI-12679","Nelson Kirby",39,"2001-01-06",46386,311,"claims of negligence","unfair dismissal",5,"485979","SOUTH","Thane","Madhya Pradesh"
"T1-103351","ST-135",32,"SI-12680","Skyla Guerrero",64,"2001-01-06",244615,313,"appeal against HR","discrimination",13,"485981","NORTH","Bhopal","Maharashtra"
"T1-103352","ST-136",34,"SI-12681","Bryce Mejia",37,"2001-01-06",116651,315,"Workplace harassment","appeal against HR",13,"485983","CENTRAL","Visakhapatnam","Manipur"
"T1-103353","ST-137",15,"SI-12682","Murphy Barron",49,"2001-01-06",188531,317,"Murder","Workplace harassment",3,"485985","EAST","Vadodara","Meghalaya"
"T1-103354","ST-138",31,"SI-12683","Dustin Schmitt",48,"2001-01-06",106326,319,"robbery","Murder",5,"485987","WEST","Firozabad","Mizoram"
"T1-103355","ST-139",14,"SI-12684","Queen Cherry",37,"2001-01-06",199175,321,"dowry demands","theft",10,"485989","SOUTH","Ludhiana","Nagaland"
"T1-103356","ST-140",34,"SI-12685","Rome McIntyre",55,"2001-01-06",146151,323,"robbery","cybercrime",13,"485991","NORTH","Rajkot","Odisha"
"T1-103357","ST-141",22,"SI-12686","Clay Holt",39,"2001-01-06",66062,325,"unfair dismissal","sedition",8,"485993","CENTRAL","Agra","Punjab"
"T1-103358","ST-142",15,"SI-12687","Milo Faulkner",57,"2001-01-06",162302,327,"theft","Property dispute",6,"485995","EAST","Siliguri","Rajasthan"
"T1-103359","ST-143",24,"SI-12688","Paulina Baker",60,"2001-01-06",203283,329,"cybercrime","marriage affairs",7,"485997","WEST","Nashik","Sikkim"
"T1-103360","ST-144",12,"SI-12689","Ezra Salinas",45,"2001-01-06",83505,331,"sedition","Divorce",9,"485999","SOUTH","Faridabad","Tamil Nadu"
"T1-103361","ST-145",25,"SI-12690","Royalty Rubio",56,"2001-01-06",110848,333,"Property dispute","Fraud",7,"486001","NORTH","Patna","Telangana"
"T1-103362","ST-146",39,"SI-12691","Titan Barton",46,"2001-01-06",153496,335,"Fraud","riots",6,"486003","CENTRAL","Meerut","Tripura"
"T1-103363","ST-147",29,"SI-12692","Amina Thomas",42,"2001-01-06",127632,337,"riots","claims of negligence",7,"486005","EAST","Kalyan-Dombivli","Uttar Pradesh"
"T1-103364","ST-148",40,"SI-12693","Logan McGuire",42,"2001-01-07",158608,339,"marriage affairs","dowry demands",12,"486007","WEST","Vasai-Virar","Uttarakhand"
"T1-103365","ST-149",29,"SI-12694","April Simpson",60,"2001-01-07",150560,341,"Divorce","robbery",7,"486009","SOUTH","Varanasi","West Bengal"
"T1-103366","ST-150",39,"SI-12695","Serenity McGee",63,"2001-01-07",130540,343,"claims of negligence","unfair dismissal",11,"486011","NORTH","Srinagar","Andaman and Nicobar Islands"
"T1-103367","ST-151",39,"SI-12696","Conner Delacruz",57,"2001-01-07",203087,345,"appeal against HR","discrimination",15,"486013","CENTRAL","Dhanbad","Chandigarh"
"T1-103368","ST-152",36,"SI-12697","Sterling Moore",60,"2001-01-07",205970,347,"Workplace harassment","appeal against HR",3,"486015","EAST","Jodhpur","Dadra and Nagar Haveli and Daman and Diu"
"T1-103369","ST-153",23,"SI-12698","Amora Russo",38,"2001-01-07",191994,349,"Murder","Workplace harassment",5,"486017","WEST","Amritsar","Lakshadweep"
"T1-103370","ST-154",12,"SI-12699","Jamie Hardy",48,"2001-01-07",224316,351,"robbery","Murder",15,"486019","SOUTH","Raipur","Delhi"
"T1-103371","ST-155",40,"SI-12700","Jessica Duncan",45,"2001-01-07",128287,353,"dowry demands","theft",4,"486021","NORTH","Allahabad","Puducherry"
"T1-103372","ST-156",14,"SI-12701","Avery Ayers",44,"2001-01-07",228231,355,"robbery","cybercrime",4,"486023","CENTRAL","Coimbatore","Ladakh"
"T1-103373","ST-157",25,"SI-12702","Kynlee Vance",43,"2001-01-07",81637,357,"unfair dismissal","sedition",14,"486025","EAST","Jabalpur","Jammu and Kashmir"
"T1-103374","ST-158",19,"SI-12703","Casen Castro",40,"2001-01-07",193242,359,"theft","Property dispute",13,"486027","WEST","Gwalior","Maharashtra"
"T1-103375","ST-159",36,"SI-12704","Eloise Harris",41,"2001-01-07",46733,361,"cybercrime","marriage affairs",5,"486029","SOUTH","Vijayawada","Delhi"
"T1-103376","ST-160",17,"SI-12705","Samuel Hood",59,"2001-01-07",241533,363,"sedition","Divorce",9,"486031","NORTH","Madurai","Karnataka"
"T1-103377","ST-161",24,"SI-12706","Adelynn Bradshaw",62,"2001-01-07",164364,365,"Property dispute","Fraud",8,"486033","CENTRAL","Guwahati","Andhra Pradesh"
"T1-103378","ST-162",27,"SI-12707","Emory Nixon",49,"2001-01-07",189136,367,"Fraud","riots",15,"486035","EAST","Chandigarh","Arunachal Pradesh"
"T1-103379","ST-163",15,"SI-12708","Deborah Reid",60,"2001-01-07",201958,369,"riots","claims of negligence",15,"486037","WEST","Hubli-Dharwad","Assam"
"T1-103380","ST-164",20,"SI-12709","Josue Alvarado",63,"2001-01-07",83180,371,"marriage affairs","dowry demands",8,"486039","SOUTH","Amroha","Bihar"
"T1-103381","ST-165",34,"SI-12710","Monica Bridges",60,"2001-01-07",89985,373,"Divorce","robbery",4,"486041","NORTH","Moradabad","Chhattisgarh"
"T1-103382","ST-166",36,"SI-12711","Cynthia Colon",59,"2001-01-07",63133,375,"claims of negligence","unfair dismissal",7,"486043","CENTRAL","Gurgaon","Goa"
"T1-103383","ST-167",21,"SI-12712","Bruce Campos",52,"2001-01-07",170116,377,"appeal against HR","discrimination",14,"486045","EAST","Aligarh","Gujarat"
"T1-103384","ST-168",36,"SI-12713","Sutton Hodges",53,"2001-01-07",72572,379,"Workplace harassment","appeal against HR",7,"486047","WEST","Solapur","Haryana"
"T1-103385","ST-169",22,"SI-12714","Alonzo Dyer",51,"2001-01-07",244465,381,"Murder","Workplace harassment",6,"486049","SOUTH","Ranchi","Himachal Pradesh"
